Западная ул., 308 кв. 459, Новосибирск, Россия, 844397
пр. Карла Маркса, 507 кв. 481, Нижний Новгород, Россия, 489124
ул. Горького, 767 кв. 681, Пенза, Россия, 929131
Красноармейская ул., 246 кв. 939, Рязань, Россия, 457347
ул. Интернациональная, 275 кв. 294, Рязань, Россия, 634005
пр. Трудовая, 700 кв. 556, Белгород, Россия, 660904
Рабочая пл., 781 кв. 265, Ижевск, Россия, 844675
Коммунальная ул., 478 кв. 411, Ставрополь, Россия, 500879
Энергетиков пр., 752 кв. 194, Воронеж, Россия, 862094
Садовый ул., 420 кв. 960, Томск, Россия, 323352
площадь Рабочая, 552 кв. 856, Киров, Россия, 864833
пл. Западная, 655 кв. 717, Сочи, Россия, 286245
Степная пр., 585 кв. 467, Липецк, Россия, 591518
Колхозная пл., 129 кв. 104, Казань, Россия, 762690
проспект Дружбы, 870 кв. 477, Москва, Россия, 849508
площадь Цветочная, 789 кв. 925, Липецк, Россия, 788919
Речная улица, 437 кв. 344, Казань, Россия, 838883
проспект Комсомольская, 688 кв. 498, Барнаул, Россия, 194270
площадь 8 Марта, 367 кв. 400, Ярославль, Россия, 419646
проспект Победы, 766 кв. 406, Санкт-Петербург, Россия, 827928
площадь Западная, 146 кв. 593, Ростов-на-Дону, Россия, 575198
пр. Труда, 766 кв. 870, Ярославль, Россия, 551215
пл. Степная, 821 кв. 359, Волгоград, Россия, 742464
Космонавтов пр., 795 кв. 755, Москва, Россия, 158338
проспект Солнечная, 151 кв. 400, Владимир, Россия, 517066
пр. Механизаторов, 929 кв. 429, Санкт-Петербург, Россия, 196574
пл. Западная, 542 кв. 673, Тула, Россия, 937882
улица Интернациональная, 265 кв. 786, Ростов-на-Дону, Россия, 268007
площадь Цветочная, 778 кв. 276, Оренбург, Россия, 945806
пр. Дзержинского, 638 кв. 265, Воронеж, Россия, 531312
ул. Юбилейная, 633 кв. 360, Астрахань, Россия, 504789
площадь Крупской, 610 кв. 511, Липецк, Россия, 780086
ул. Красноармейская, 391 кв. 136, Екатеринбург, Россия, 416620
Свердлова пр., 310 кв. 607, Курск, Россия, 616362
Красноармейская пл., 684 кв. 213, Москва, Россия, 469933
пр. Солнечная, 346 кв. 230, Ульяновск, Россия, 424398
улица Парковая, 866 кв. 522, Магнитогорск, Россия, 522269
Космонавтов площадь, 534 кв. 448, Ростов-на-Дону, Россия, 501233
улица Коммунальная, 250 кв. 217, Ставрополь, Россия, 276410
пл. Космонавтов, 392 кв. 517, Тольятти, Россия, 108329
Речная улица, 521 кв. 461, Ростов-на-Дону, Россия, 155392
Ленина проспект, 427 кв. 936, Ижевск, Россия, 957111
Ленина пл., 543 кв. 592, Ижевск, Россия, 262354
Речная пр., 894 кв. 967, Омск, Россия, 483053
пр. Строителей, 528 кв. 149, Магнитогорск, Россия, 247165
площадь Заречная, 899 кв. 931, Брянск, Россия, 632690
Партизанская проспект, 852 кв. 910, Тверь, Россия, 320223
Механизаторов пл., 989 кв. 318, Владимир, Россия, 113538
Юбилейная пр., 377 кв. 478, Волгоград, Россия, 929658
проспект Механизаторов, 276 кв. 369, Иркутск, Россия, 744655
проспект Лермонтова, 653 кв. 517, Чебоксары, Россия, 941484
ул. Свободы, 271 кв. 362, Курск, Россия, 876928
Коммунистическая пл., 912 кв. 359, Оренбург, Россия, 714337
пр. Коммунальная, 498 кв. 375, Владимир, Россия, 665582
улица Горная, 534 кв. 279, Барнаул, Россия, 746477
Садовая ул., 520 кв. 161, Ростов-на-Дону, Россия, 377917
ул. Вокзальная, 986 кв. 445, Саратов, Россия, 459100
Свободы проспект, 698 кв. 412, Тольятти, Россия, 455475
Ленина улица, 651 кв. 604, Махачкала, Россия, 297817
Некрасова пл., 612 кв. 340, Чебоксары, Россия, 929464
Космонавтов площадь, 925 кв. 432, Оренбург, Россия, 281784
Березовая улица, 373 кв. 569, Казань, Россия, 689322
ул. Сосновая, 709 кв. 186, Липецк, Россия, 499546
Калинина проспект, 412 кв. 216, Рязань, Россия, 505037
улица Московская, 297 кв. 169, Хабаровск, Россия, 201585
Механизаторов ул., 273 кв. 796, Ставрополь, Россия, 895248
пл. Заречная, 558 кв. 937, Санкт-Петербург, Россия, 436253
Гоголя пр., 452 кв. 665, Казань, Россия, 586608
8 Марта пл., 559 кв. 968, Пермь, Россия, 983397
Победы площадь, 767 кв. 644, Краснодар, Россия, 214438
улица Ломоносова, 331 кв. 520, Челябинск, Россия, 928555
Коммунальная пр., 627 кв. 229, Ярославль, Россия, 674320
Нагорная пл., 168 кв. 351, Владимир, Россия, 604648
улица Лесной, 856 кв. 235, Тверь, Россия, 828585
пр. Набережная, 931 кв. 683, Оренбург, Россия, 696368
Матросова площадь, 281 кв. 804, Тула, Россия, 209427
проспект Гоголя, 366 кв. 827, Белгород, Россия, 207256
Космонавтов проспект, 211 кв. 952, Тюмень, Россия, 584457
Матросова пл., 821 кв. 698, Ульяновск, Россия, 982211
пл. Почтовая, 962 кв. 522, Казань, Россия, 741576
ул. Школьный, 507 кв. 495, Пенза, Россия, 580146
Вокзальная улица, 629 кв. 698, Ярославль, Россия, 995150
ул. Островского, 943 кв. 680, Новосибирск, Россия, 702279
пр. Парковая, 630 кв. 836, Барнаул, Россия, 799997
улица Партизанская, 472 кв. 302, Рязань, Россия, 592327
площадь Мичурина, 405 кв. 345, Новокузнецк, Россия, 449615
Свободы пр., 307 кв. 163, Махачкала, Россия, 298929
Советская пр., 583 кв. 888, Екатеринбург, Россия, 267949
Весенняя проспект, 428 кв. 418, Оренбург, Россия, 261357
пл. Пионерская, 608 кв. 198, Ульяновск, Россия, 721794
Школьный ул., 234 кв. 314, Курск, Россия, 134560
Полевая ул., 649 кв. 101, Новокузнецк, Россия, 852863
проспект Южная, 938 кв. 618, Новосибирск, Россия, 844791
улица Цветочная, 299 кв. 549, Липецк, Россия, 919573
