завулак Пермскі, 98, Гродна, Беларусь, 230000
вуліца Карыцкага, 162, Стаубцы, Беларусь, 222660
вуліца Смалячкова, 133, Магілёў, Беларусь, 212000
вуліца Горная, 163, Мазыр, Беларусь, 247760
вуліца Крынічная, 155, Вітебск, Беларусь, 210000
тупік Капыльскі, 152, Гродна, Беларусь, 230000
вуліца Глыбоцкая, 61, Мазыр, Беларусь, 247760
завулак Тэлеграфны, 131, Бабруйск, Беларусь, 213801
праезд Прафсаюзны, 52, Баранавічы, Беларусь, 225320
вуліца Кіеўская, 43, Мазыр, Беларусь, 247760
вуліца Сурганава, 55, Вітебск, Беларусь, 210000
вуліца Велазаводская, 125, Жодзіна, Беларусь, 222160
вуліца Зімняя, 170, Орша, Беларусь, 211030
вуліца Валадзько, 118, Мінск, Беларусь, 220000
вуліца Шэйпічы, 124, Дзяржынск, Беларусь, 222720
праезд Слабадскі, 65, Вілейка, Беларусь, 222410
вуліца Навасельская, 126, Дзяржынск, Беларусь, 222720
вуліца Лесі Украінкі, 57, Вілейка, Беларусь, 222410
вуліца Чырвоная, 68, Ашмяны, Беларусь, 231103
вуліца Акадэміка Жэбрака, 168, Стаубцы, Беларусь, 222660
вуліца Уруцкая, 159, Ашмяны, Беларусь, 231103
вуліца Глыбоцкая, 68, Гомель, Беларусь, 240000
вуліца Лырысы Александроўскай, 44, Вітебск, Беларусь, 210000
вуліца Прыдарожная, 155, Фаніпаль, Беларусь, 222750
вуліца Астрожскіх, 194, Вітебск, Беларусь, 210000
вуліца Чырвоная, 88, Барысаў, Беларусь, 222120
вуліца Рабінніцкая, 67, Ашмяны, Беларусь, 231103
вуліца Алібегава, 26, Стаубцы, Беларусь, 222660
вуліца Цэнтральная, 144, Ашмяны, Беларусь, 231103
праезд Наватарскі, 132, Гомель, Беларусь, 240000
вуліца Талбухіна, 34, Слонім, Беларусь, 231800
вуліца Дукорская, 74, Слонім, Беларусь, 231800
вуліца Халмагорская, 121, Орша, Беларусь, 211030
вуліца Агарова, 110, Стаубцы, Беларусь, 222660
завулак Сустрэчны, 116, Брэст, Беларусь, 224000
вуліца Падлесная, 118, Гродна, Беларусь, 230000
вуліца Таежная, 160, Брэст, Беларусь, 224000
вуліца Гастэлы, 138, Слонім, Беларусь, 231800
вуліца Чыжоўская, 33, Орша, Беларусь, 211030
завулак Малочны, 86, Полацк, Беларусь, 211291
вуліца Скрыпнікава, 12, Фаніпаль, Беларусь, 222750
завулак Максіма Багдановіча, 115, Гомель, Беларусь, 240000
вуліца Ленінградская, 98, Ліда, Беларусь, 231300
вуліца Шпалерная, 163, Бабруйск, Беларусь, 213801
вуліца Сцяпянская, 155, Дзяржынск, Беларусь, 222720
вуліца Юнацкая, 190, Барысаў, Беларусь, 222120
вуліца Ландэра, 177, Ліда, Беларусь, 231300
вуліца Сямашкі, 135, Мазыр, Беларусь, 247760
вуліца Бірузова, 36, Брэст, Беларусь, 224000
вуліца Ватуціна, 86, Дзяржынск, Беларусь, 222720
завулак Ахоцкі, 158, Гомель, Беларусь, 240000
вуліца Мяржынскага, 196, Слонім, Беларусь, 231800
праезд Ташкенцкі, 31, Магілёў, Беларусь, 212000
вуліца Славянская, 29, Дзяржынск, Беларусь, 222720
вуліца Калектарная, 22, Барысаў, Беларусь, 222120
вуліца Кузьмы Мініна, 112, Фаніпаль, Беларусь, 222750
вуліца Уладзіміра Дубоўкі, 22, Ашмяны, Беларусь, 231103
вуліца Мендзялеева, 191, Фаніпаль, Беларусь, 222750
завулак Наватарскі, 39, Баранавічы, Беларусь, 225320
вуліца Нарачанская, 62, Магілёў, Беларусь, 212000
вуліца Лілі Карастаянавай, 35, Брэст, Беларусь, 224000
вуліца Пскоўская, 45, Бабруйск, Беларусь, 213801
вуліца Горная, 154, Вітебск, Беларусь, 210000
завулак Праязны, 27, Брэст, Беларусь, 224000
завулак Ушакова, 185, Барысаў, Беларусь, 222120
завулак Пакроўскі, 191, Ліда, Беларусь, 231300
Лагойскі тракт, 163, Жодзіна, Беларусь, 222160
вуліца Абухоўская, 10, Гродна, Беларусь, 230000
вуліца Філімонава, 195, Слонім, Беларусь, 231800
вуліца Тыражная, 64, Мінск, Беларусь, 220000
праезд Прафсаюзны, 193, Полацк, Беларусь, 211291
вуліца Рачная, 120, Вітебск, Беларусь, 210000
вуліца Купрыянава, 43, Дзяржынск, Беларусь, 222720
завулак Круглы, 98, Ашмяны, Беларусь, 231103
вуліца Валенція Ваньковіча, 188, Слонім, Беларусь, 231800
вуліца Вязынская, 161, Барысаў, Беларусь, 222120
вуліца Татарская, 185, Вітебск, Беларусь, 210000
вуліца Шумілінская, 86, Орша, Беларусь, 211030
завулак Нахімава, 85, Стаубцы, Беларусь, 222660
вуліца Высокая, 115, Стаубцы, Беларусь, 222660
вуліца Зацішша, 48, Вілейка, Беларусь, 222410
вуліца Купрыянава, 40, Мінск, Беларусь, 220000
вуліца Дароўская, 176, Дзяржынск, Беларусь, 222720
вуліца Шырокая, 16, Мазыр, Беларусь, 247760
вуліца Кулібіна, 142, Баранавічы, Беларусь, 225320
завулак Някрасава, 77, Бабруйск, Беларусь, 213801
завулак Нахімава, 58, Вілейка, Беларусь, 222410
вуліца Янкі Лучыны, 146, Дзяржынск, Беларусь, 222720
вуліца Пятра Мсціслаўца, 52, Ашмяны, Беларусь, 231103
вуліца Малаковіч, 30, Фаніпаль, Беларусь, 222750
вуліца Глаголева, 21, Ашмяны, Беларусь, 231103
вуліца Волаха, 137, Мінск, Беларусь, 220000
завулак Шкляны, 88, Вілейка, Беларусь, 222410
вуліца Сонечная, 65, Барысаў, Беларусь, 222120
вуліца Кастрычніцкая, 177, Барысаў, Беларусь, 222120
вуліца Машыністаў, 64, Слонім, Беларусь, 231800
вуліца Стэфанаўская, 164, Слонім, Беларусь, 231800
вуліца Мікуліча, 63, Полацк, Беларусь, 211291
вуліца Захарава, 24, Дзяржынск, Беларусь, 222720
вуліца Лілі Карастаянавай, 14, Орша, Беларусь, 211030
вуліца Ангарская, 183, Слонім, Беларусь, 231800
вуліца Мічурына, 66, Магілёў, Беларусь, 212000
Лагойскі тракт, 164, Вілейка, Беларусь, 222410
