вуліца Грушаўская, 180, Орша, Беларусь, 211030
завулак Адзінцова, 115, Стаубцы, Беларусь, 222660
вуліца Кобрынская, 113, Дзяржынск, Беларусь, 222720
вуліца Льва Сапегі, 92, Баранавічы, Беларусь, 225320
вуліца Рабінавая, 120, Барысаў, Беларусь, 222120
вуліца Цімашэнкі, 161, Стаубцы, Беларусь, 222660
вуліца Няміга, 181, Жодзіна, Беларусь, 222160
вуліца Вавілава, 23, Ашмяны, Беларусь, 231103
завулак Авангардны, 40, Слонім, Беларусь, 231800
завулак Чырваназоркавы, 63, Гомель, Беларусь, 240000
завулак Бехцерава, 95, Вітебск, Беларусь, 210000
вуліца Вінаградная, 68, Барысаў, Беларусь, 222120
вуліца Гебелева, 42, Фаніпаль, Беларусь, 222750
вуліца Акадэміка Купрэвіча, 32, Дзяржынск, Беларусь, 222720
праезд Аршанскі, 150, Орша, Беларусь, 211030
вуліца Кірыла Тураўскага, 151, Стаубцы, Беларусь, 222660
вуліца Фаніпальская, 72, Стаубцы, Беларусь, 222660
вуліца Роменская, 25, Магілёў, Беларусь, 212000
праезд Даўгінаўскі, 183, Мінск, Беларусь, 220000
завулак Шкляны, 85, Слонім, Беларусь, 231800
вуліца Шаранговіча, 179, Дзяржынск, Беларусь, 222720
вуліца Мацвееўская, 51, Вітебск, Беларусь, 210000
вуліца Навасельская, 11, Вітебск, Беларусь, 210000
вуліца Перадавая, 51, Стаубцы, Беларусь, 222660
вуліца Курсанта Гвішыані, 33, Брэст, Беларусь, 224000
вуліца Цяпінскага, 81, Орша, Беларусь, 211030
вуліца Праграмістаў, 69, Вітебск, Беларусь, 210000
вуліца Докшыцкая, 117, Вітебск, Беларусь, 210000
вуліца Піянерская, 190, Брэст, Беларусь, 224000
плошча Парыжскай Камуны, 54, Магілёў, Беларусь, 212000
вуліца Еўфрасінні Полацкай, 88, Мазыр, Беларусь, 247760
вуліца Гальшанская, 37, Дзяржынск, Беларусь, 222720
вуліца Альховая, 10, Брэст, Беларусь, 224000
вуліца Слабадская, 88, Ашмяны, Беларусь, 231103
завулак Свіслацкі, 89, Вітебск, Беларусь, 210000
вуліца Пензенская, 81, Жодзіна, Беларусь, 222160
вуліца Заводская, 93, Слонім, Беларусь, 231800
праезд Металістаў, 93, Магілёў, Беларусь, 212000
вуліца Навінкаўская, 136, Вілейка, Беларусь, 222410
вуліца Цнянская, 172, Гомель, Беларусь, 240000
вуліца Кальцова, 197, Вітебск, Беларусь, 210000
плошча Ванеева, 144, Гродна, Беларусь, 230000
завулак Дзянісаўскі, 111, Фаніпаль, Беларусь, 222750
вуліца Міхалова, 19, Брэст, Беларусь, 224000
вуліца Асаналіева, 67, Слонім, Беларусь, 231800
вуліца Раманаўская Слабада, 38, Орша, Беларусь, 211030
завулак Нагорны, 189, Ліда, Беларусь, 231300
праспект Пераможцаў, 113, Ашмяны, Беларусь, 231103
вуліца Тарханава, 18, Брэст, Беларусь, 224000
вуліца Мажайскага, 82, Вілейка, Беларусь, 222410
вуліца Зімняя, 150, Ліда, Беларусь, 231300
завулак Чайкоўскага, 36, Мазыр, Беларусь, 247760
завулак Бранявы, 143, Жодзіна, Беларусь, 222160
вуліца Перадавая, 95, Гродна, Беларусь, 230000
вуліца Жукоўскага, 174, Гомель, Беларусь, 240000
вуліца Аўтазаводская, 39, Орша, Беларусь, 211030
вуліца Зацішша, 154, Ашмяны, Беларусь, 231103
вуліца Вясенняя, 138, Слонім, Беларусь, 231800
вуліца Якубоўскага, 43, Мінск, Беларусь, 220000
вуліца Берсана, 88, Магілёў, Беларусь, 212000
завулак Ашмянскі, 164, Мазыр, Беларусь, 247760
вуліца Авакяна, 20, Гомель, Беларусь, 240000
завулак Круглы, 186, Орша, Беларусь, 211030
вуліца Козыраўская, 141, Брэст, Беларусь, 224000
вуліца Цікоцкага, 54, Слонім, Беларусь, 231800
вуліца Пскоўская, 89, Ліда, Беларусь, 231300
вуліца Капыльская, 156, Дзяржынск, Беларусь, 222720
вуліца Пуліхава, 153, Ліда, Беларусь, 231300
вуліца Паўлоўскага, 131, Дзяржынск, Беларусь, 222720
завулак Дароўскі, 124, Вітебск, Беларусь, 210000
вуліца Сурганава, 63, Орша, Беларусь, 211030
вуліца Касманаўтаў, 195, Стаубцы, Беларусь, 222660
вуліца Гагарына, 162, Вітебск, Беларусь, 210000
вуліца Ржавецкая, 73, Ашмяны, Беларусь, 231103
Смілавіцкі тракт, 32, Баранавічы, Беларусь, 225320
завулак Баторынскі, 159, Мазыр, Беларусь, 247760
вуліца Возніцкая, 155, Фаніпаль, Беларусь, 222750
завулак Малы, 125, Фаніпаль, Беларусь, 222750
вуліца Фаніпальская, 17, Барысаў, Беларусь, 222120
вуліца Янкі Лучыны, 55, Гомель, Беларусь, 240000
вуліца Герояў 120 Дывізіі, 199, Жодзіна, Беларусь, 222160
вуліца Аляксандраўская, 20, Слонім, Беларусь, 231800
вуліца Барадзінская, 39, Жодзіна, Беларусь, 222160
вуліца Старынаўская, 83, Орша, Беларусь, 211030
вуліца Стэфанаўская, 113, Вілейка, Беларусь, 222410
вуліца Асенняя, 18, Магілёў, Беларусь, 212000
вуліца Дружбы, 47, Мінск, Беларусь, 220000
вуліца Талбухіна, 16, Дзяржынск, Беларусь, 222720
вуліца Лілі Карастаянавай, 78, Слонім, Беларусь, 231800
вуліца Аўрораўская, 12, Орша, Беларусь, 211030
праезд Слабадскі, 146, Вітебск, Беларусь, 210000
вуліца Сувязістаў, 184, Гомель, Беларусь, 240000
вуліца Верасовая, 181, Гомель, Беларусь, 240000
завулак Базісны, 56, Орша, Беларусь, 211030
вуліца Светлая, 146, Слонім, Беларусь, 231800
вуліца Уманская, 55, Слонім, Беларусь, 231800
праезд Універсітэцкі, 179, Бабруйск, Беларусь, 213801
завулак Масквіна, 162, Баранавічы, Беларусь, 225320
вуліца Маякоўскага, 134, Магілёў, Беларусь, 212000
завулак Літаратурны, 17, Бабруйск, Беларусь, 213801
праезд Прафсаюзны, 188, Баранавічы, Беларусь, 225320
вуліца Калініна, 175, Магілёў, Беларусь, 212000
вуліца Кальцова, 50, Барысаў, Беларусь, 222120
